Country,2015percent,2015capita,2014percent,2014capita
Afghanistan,10.30,183.90,9.70,176.90
Albania,6.80,773.70,7.00,779.30
Algeria,7.10,1031.20,6.50,929.10
Angola,2.90,195.50,2.80,184.60
Antigua and Barbuda,4.80,1105.10,5.70,1205.40
Argentina,6.80,1389.80,6.40,1268.30
Armenia,10.10,883.20,7.00,591.30
Australia,9.40,4491.60,9.10,4287.20
Austria,10.30,5138.20,10.30,5025.40
Azerbaijan,6.70,1191.30,5.70,998.80
Bahamas,7.40,1699.10,7.30,1704.10
Bahrain,5.20,2453.20,4.60,2164.60
Bangladesh,2.60,88.00,2.70,83.20
Barbados,7.50,1233.60,7.70,1239.20
Belarus,6.10,1084.60,5.40,995.20
Belgium,10.50,4782.40,10.40,4660.70
Belize,6.20,523.70,5.80,487.90
Benin,4.00,84.50,3.60,76.80
Bhutan,3.50,287.10,3.20,245.70
Bolivia (Plurinational State of),6.40,445.80,5.80,384.90
Bosnia and Herzegovina,9.40,1101.80,9.60,1072.00
Botswana,6.00,970.00,5.30,890.40
Brazil,8.90,1391.50,8.40,1365.30
Brunei Darussalam,2.60,2083.40,2.20,1732.70
Bulgaria,8.20,1491.90,8.50,1477.10
Burkina Faso,5.40,96.10,5.60,94.20
Burundi,8.20,63.70,6.80,54.60
C̫te d'Ivoire,5.40,189.60,5.20,167.30
Cabo Verde,4.80,310.40,5.00,313.30
Cambodia,6.00,209.60,6.20,203.30
Cameroon,5.10,162.80,4.90,151.20
Canada,10.40,4600.10,10.00,4499.00
Central African Republic,4.80,31.90,4.70,29.80
Chad,4.60,99.80,4.60,100.00
Chile,8.10,1903.10,7.60,1774.10
China,5.30,762.20,5.00,658.00
Colombia,6.20,852.80,6.40,856.00
Comoros,8.00,121.00,8.00,121.40
Congo,3.40,202.70,2.40,142.20
Costa Rica,8.10,1286.50,8.20,1237.50
Croatia,7.40,1656.40,7.50,1643.20
Cuba,10.90,2478.80,10.30,2196.60
Cyprus,6.80,2136.80,6.80,2059.90
Czechia,7.30,2469.90,7.70,2481.60
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,4.30,34.00,4.40,33.20
Denmark,10.30,5083.20,10.30,4924.20
Djibouti,4.40,146.70,4.10,130.60
Dominican Republic,6.20,873.10,6.10,799.90
Ecuador,8.50,980.20,8.60,994.40
Egypt,4.20,495.20,4.10,491.00
El Salvador,6.90,578.50,6.80,551.80
Equatorial Guinea,2.70,789.60,1.80,583.30
Eritrea,3.30,56.20,3.40,56.60
Estonia,6.50,1886.80,6.20,1774.30
Eswatini,7.00,628.90,7.20,607.60
Ethiopia,4.00,65.60,4.00,60.50
Fiji,3.60,331.40,3.70,322.10
Finland,9.40,3996.40,9.50,3938.80
France,11.10,4542.30,11.10,4478.70
Gabon,2.70,480.90,2.50,445.00
Gambia,6.70,114.10,7.00,115.40
Georgia,7.90,717.70,8.40,725.80
Germany,11.20,5356.80,11.10,5204.50
Ghana,5.90,249.30,5.50,225.40
Greece,8.40,2204.40,7.90,2094.30
Grenada,5.00,677.50,5.30,667.90
Guatemala,5.70,443.90,6.20,467.20
Guinea,4.50,57.20,4.30,55.10
Guinea-Bissau,6.90,100.30,6.30,100.30
Guyana,4.50,336.10,5.10,373.20
Haiti,6.90,120.10,7.20,125.10
Honduras,7.60,353.40,7.70,347.20
Hungary,7.20,1912.10,7.10,1820.10
Iceland,8.60,4116.20,8.80,3894.10
India,3.90,237.70,3.60,205.80
Indonesia,3.30,369.30,3.40,362.60
Iran (Islamic Republic of),7.60,1261.70,7.10,1222.60
Iraq,3.40,481.00,3.40,440.00
Ireland,7.80,5334.90,9.90,5099.60
Israel,7.40,2819.10,7.40,2687.30
Italy,9.00,3350.60,9.00,3274.10
Jamaica,5.90,511.40,5.50,469.20
Japan,10.90,4405.10,10.80,4240.30
Jordan,6.30,568.10,7.40,673.50
Kazakhstan,3.90,903.30,3.60,891.00
Kenya,5.20,157.20,5.50,158.30
Kiribati,7.60,151.80,9.60,185.90
Kuwait,4.00,2977.50,3.20,2385.90
Kyrgyzstan,8.20,286.60,8.30,281.50
Lao People's Democratic Republic,2.80,165.80,2.60,140.90
Latvia,5.80,1429.30,7.80,1306.90
Lebanon,7.40,1117.30,7.40,1140.40
Lesotho,8.40,251.10,8.60,248.80
Liberia,15.20,127.80,14.10,119.20
Libya,0.00,0.00,0.00,0.00
Lithuania,6.50,1874.60,6.20,1734.40
Luxembourg,6.00,6381.50,6.30,6463.30
Madagascar,5.20,76.70,4.90,70.50
Malawi,9.30,108.20,9.70,111.60
Malaysia,4.00,1063.90,3.90,991.50
Maldives,11.50,1513.90,13.00,1693.40
Mali,5.80,118.50,5.80,113.90
Malta,9.60,3470.90,9.50,3216.00
Mauritania,4.60,177.10,4.20,158.30
Mauritius,5.50,1098.60,5.40,1020.00
Mexico,5.90,1008.70,5.70,986.10
Micronesia (Federated States of),13.10,457.90,12.40,415.10
Mongolia,3.90,469.60,3.80,457.50
Montenegro,6.00,957.00,5.90,898.10
Morocco,5.50,435.30,5.70,428.30
Mozambique,5.40,63.70,5.50,62.90
Myanmar,4.90,267.20,4.90,245.50
Namibia,8.90,942.50,8.20,827.90
Nepal,6.10,150.60,5.80,139.00
Netherlands,10.70,5313.20,10.90,5338.00
New Zealand,9.30,3530.10,9.40,3453.30
Nicaragua,7.80,406.00,7.60,377.60
Niger,7.20,68.50,5.90,55.50
Nigeria,3.60,215.20,3.30,199.00
Norway,10.00,6221.60,9.30,6177.00
Oman,3.80,1635.90,3.50,1497.20
Pakistan,2.70,134.40,2.70,131.20
Panama,7.00,1542.80,6.80,1432.50
Papua New Guinea,3.80,98.60,4.50,115.60
Paraguay,7.80,724.30,7.60,682.90
Peru,5.30,671.00,5.10,621.80
Philippines,4.40,322.80,4.20,290.80
Poland,6.30,1704.20,6.20,1607.50
Portugal,9.00,2661.40,9.00,2594.60
Qatar,3.10,3900.30,2.40,3084.70
Republic of Korea,7.40,2556.00,7.10,2414.10
Republic of Moldova,10.20,515.30,10.30,515.80
Republic of North Macedonia,6.10,857.10,6.20,828.50
Romania,5.00,1090.40,5.00,1045.00
Russian Federation,5.60,1414.00,5.70,1339.90
Rwanda,7.90,143.20,8.20,141.90
Saint Lucia,6.00,681.40,5.80,641.30
Saint Vincent and the Grenadines,4.20,469.50,4.20,461.40
Samoa,5.60,335.90,6.00,361.40
Sao Tome and Principe,9.80,308.40,8.90,271.00
Saudi Arabia,5.80,3121.30,5.10,2674.50
Senegal,4.00,97.10,3.90,93.50
Serbia,9.40,1323.70,9.80,1355.80
Seychelles,3.40,867.30,3.40,836.40
Sierra Leone,18.30,256.30,19.70,351.60
Singapore,4.30,3681.30,3.90,3323.20
Slovakia,6.90,2062.00,6.90,2011.50
Slovenia,8.50,2733.80,8.50,2651.00
Solomon Islands,8.00,173.00,8.40,177.80
Somalia,0.00,0.00,0.00,0.00
South Africa,8.20,1086.40,7.90,1029.30
South Sudan,2.50,71.20,2.10,53.40
Spain,9.20,3182.50,9.10,3057.90
Sri Lanka,3.00,353.10,2.80,319.60
Sudan,6.30,277.00,5.30,224.60
Suriname,6.50,1016.90,5.80,955.60
Sweden,11.00,5298.60,11.10,5202.10
Switzerland,12.10,7582.60,11.60,7145.20
Syrian Arab Republic,0.00,0.00,0.00,0.00
Tajikistan,6.90,192.70,6.70,180.50
Thailand,3.80,610.20,3.70,579.70
Timor-Leste,3.10,141.30,2.30,149.80
Togo,6.60,95.60,6.50,89.60
Tonga,5.90,323.80,5.20,278.20
Trinidad and Tobago,6.00,2204.10,5.20,1853.20
Tunisia,6.70,774.10,6.80,772.70
Turkey,4.10,996.00,4.30,1005.60
Turkmenistan,6.30,1003.80,5.50,830.20
Uganda,7.30,138.50,7.30,132.70
Ukraine,6.10,469.40,6.10,510.70
United Arab Emirates,3.50,2425.80,3.70,2452.10
United Kingdom of Great Britain and Northern Ireland,9.90,4144.60,9.80,4008.80
United Republic of Tanzania,6.10,96.50,6.40,101.70
United States of America,16.80,9535.90,16.50,9059.50
Uruguay,9.20,1747.80,9.10,1754.10
Uzbekistan,6.20,382.80,5.90,341.60
Vanuatu,3.50,106.10,3.60,110.20
Venezuela (Bolivarian Republic of),3.20,579.40,3.60,640.10
Viet Nam,5.70,334.30,5.80,320.70
Yemen,6.00,144.50,5.60,192.10
Zambia,5.40,203.00,5.10,191.70
Zimbabwe,10.30,182.30,8.90,158.30
