,"2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Kyrgyzstan","8.2","92.1","286.6","8.3","107.5","281.5","8.2","105.7","266.1","8.5","100.8","250.0","7.2","80.6","209.4","7.1","62.6","194.4","7.0","61.3","193.2","6.6","64.4","178.6","6.9","50.8","172.3","8.3","45.9","187.7","7.5","36.1","159.9","6.2","27.2","130.2","5.8","22.3","111.7","4.6","14.8","81.0","4.3","13.2","74.8","4.4","12.3","72.3"
"Lao People's Democratic Republic","2.8","53.0","165.8","2.6","46.4","140.9","2.7","44.1","128.6","2.3","33.0","104.3","2.2","27.5","89.5","3.2","35.0","119.6","4.0","36.7","139.6","3.0","26.4","99.3","3.5","24.8","109.4","4.1","25.0","121.9","4.8","22.8","125.8","4.9","20.7","119.4","5.0","17.9","111.0","4.2","13.4","88.2","4.8","14.6","89.1","4.7","14.5","82.8"
"Latvia","5.8","783.8","1429.3","7.8","1224.8","1306.9","7.5","1151.0","1218.9","7.6","1068.9","1146.0","7.9","1074.7","1093.9","8.6","972.9","1070.0","8.9","1058.6","1029.1","8.5","1308.0","1086.0","8.9","1155.0","1041.3","8.8","794.2","900.4","8.9","633.0","807.6","9.3","565.3","756.9","8.2","402.7","602.3","8.5","339.7","578.2","8.4","292.9","519.6","7.9","258.8","433.9"
"Lebanon","7.4","645.2","1117.3","7.4","654.9","1140.4","7.5","676.5","1172.1","8.0","713.6","1237.9","8.1","711.6","1278.6","7.5","659.4","1200.2","7.1","593.0","1068.4","7.9","553.7","1094.1","8.6","520.1","1083.3","8.8","470.1","983.6","7.6","407.0","833.0","8.1","438.1","859.0","8.6","456.5","858.2","9.1","494.9","926.7","10.4","544.5","1053.6","10.7","569.1","1059.9"
"Lesotho","8.4","90.9","251.1","8.6","103.0","248.8","7.9","98.4","226.9","7.7","102.5","213.7","7.2","102.6","189.9","6.2","79.7","157.9","8.3","82.8","195.0","7.5","72.1","164.6","7.0","68.2","147.0","5.9","51.7","105.7","5.3","44.2","89.8","5.9","44.3","94.3","6.0","35.7","94.8","5.9","23.8","88.2","6.3","28.2","95.1","5.8","28.5","84.3"
"Liberia","15.2","69.3","127.8","14.1","64.6","119.2","9.2","41.6","76.9","9.3","38.5","72.5","10.5","40.0","77.3","10.0","32.7","68.7","10.6","32.1","71.1","11.0","25.6","56.4","10.3","21.6","50.7","8.1","14.4","36.5","8.5","14.3","36.4","7.9","11.8","31.5","3.5","4.6","13.3","2.9","5.2","16.2","3.7","6.4","19.8","3.8","7.0","21.5"
"Libya","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","5.0","312.6","627.3","3.4","400.5","957.3","3.9","355.7","969.2","2.3","321.4","561.9","2.4","275.7","610.7","2.5","235.0","605.2","2.6","212.3","603.8","3.5","202.0","693.6","4.1","189.8","846.4","4.9","181.1","852.3","4.1","254.0","809.0","3.4","244.8","696.5"
"Lithuania","6.5","923.3","1874.6","6.2","1018.9","1734.4","6.1","959.2","1631.1","6.3","897.0","1542.2","6.5","925.1","1472.3","6.8","805.1","1352.4","7.4","864.7","1327.3","6.3","936.6","1298.7","5.8","704.2","1092.7","5.8","536.2","957.2","5.6","438.6","810.9","5.5","366.9","713.3","6.2","342.5","750.0","6.2","256.6","647.5","5.8","212.3","549.4","5.8","204.4","490.7"
"Luxembourg","6.0","6236.0","6381.5","6.3","7557.2","6463.3","6.5","7535.9","6345.9","6.6","7096.7","6091.0","6.1","7165.4","5694.9","7.0","7451.6","6089.7","7.3","7639.6","6097.5","6.5","7547.6","5725.0","6.2","6661.9","5275.2","6.7","6066.4","5272.9","7.2","5817.1","4942.5","7.3","5601.1","4741.4","7.0","4596.1","4216.5","6.7","3583.5","3978.7","6.4","3106.1","3612.0","5.9","2894.0","3284.0"
"Madagascar","5.2","21.0","76.7","4.9","22.1","70.5","4.0","18.6","57.0","3.8","16.9","53.1","5.0","22.8","68.4","5.4","22.2","72.9","5.1","21.1","69.9","4.6","21.8","67.7","5.3","19.9","72.8","5.6","16.4","72.9","5.5","15.1","68.2","5.5","13.5","65.2","4.8","15.2","54.0","5.9","15.4","60.8","5.7","16.0","69.0","5.3","13.1","61.2"
"Malawi","9.3","34.2","108.2","9.7","34.4","111.6","11.6","38.5","127.3","8.5","31.8","89.8","7.5","38.4","78.8","7.2","33.2","73.3","8.3","34.8","79.7","8.6","32.1","78.3","7.7","24.5","65.6","6.9","20.6","54.2","6.1","17.0","45.3","5.7","15.7","41.4","4.7","12.2","32.0","3.9","11.3","25.3","3.7","5.4","24.0","4.4","6.7","29.9"
"Malaysia","4.0","385.6","1063.9","3.9","435.1","991.5","3.7","399.7","882.8","3.6","391.3","835.1","3.5","361.5","758.1","3.3","302.0","688.5","3.4","259.1","687.7","3.1","272.6","645.6","3.3","244.9","656.6","3.3","210.0","596.2","2.9","169.1","500.0","3.0","158.9","497.2","3.0","144.7","467.2","2.7","122.0","399.1","2.7","112.7","374.3","2.4","105.8","338.0"
"Maldives","11.5","943.9","1513.9","13.0","988.5","1693.4","11.0","772.6","1359.3","8.4","550.6","945.7","10.2","663.6","1136.4","9.3","593.8","948.3","10.6","645.2","1022.5","11.6","707.7","1211.8","8.9","463.5","851.1","8.0","361.6","692.1","8.8","308.8","629.8","7.5","289.7","578.3","6.4","221.3","432.9","7.1","218.4","420.8","8.0","222.7","411.1","7.4","163.7","277.6"
"Mali","5.8","42.3","118.5","5.8","47.9","113.9","5.4","42.2","100.7","4.4","34.2","80.9","4.1","34.2","76.9","4.4","31.4","81.2","4.7","32.7","83.3","4.8","33.1","83.5","5.2","31.3","88.3","5.3","27.4","86.0","5.0","24.3","78.2","5.2","22.9","76.8","4.6","18.2","67.6","4.4","14.5","58.8","4.3","13.2","57.0","5.1","13.7","59.2"
"Malta","9.6","2304.2","3470.9","9.5","2487.2","3216.0","8.9","2128.6","2778.6","8.6","1899.4","2550.1","8.6","1960.5","2456.1","8.2","1733.1","2290.2","8.1","1677.4","2122.1","8.0","1751.9","2094.3","8.2","1595.9","2049.5","8.8","1475.7","2056.8","8.7","1381.3","1940.6","8.1","1223.6","1739.2","8.0","1075.2","1657.6","7.7","831.4","1517.0","7.0","682.3","1297.7","6.5","641.2","1198.9"
"Marshall Islands","22.1","747.0","862.8","18.8","650.1","723.4","19.5","703.7","744.6","18.7","657.2","690.0","19.1","627.6","668.7","19.3","607.5","653.7","20.9","611.2","658.9","21.7","637.2","692.3","22.8","661.2","726.1","27.4","758.1","822.4","26.3","696.9","750.4","21.7","545.4","581.8","19.0","463.4","497.3","19.1","456.8","488.2","21.4","472.2","524.6","25.2","535.3","572.8"
"Mauritania","4.6","53.6","177.1","4.2","55.5","158.3","3.6","51.9","133.9","3.3","45.7","117.9","3.2","44.0","106.8","3.3","40.1","108.4","3.9","40.8","123.3","3.8","44.9","123.6","3.6","36.8","117.9","3.4","32.1","107.5","4.5","31.2","118.7","4.6","28.6","112.1","5.1","27.0","117.8","5.2","23.9","113.7","4.6","21.5","102.3","4.5","21.3","97.3"
"Mauritius","5.5","506.1","1098.6","5.4","538.6","1020.0","4.7","443.7","840.0","4.4","398.2","746.0","4.4","396.6","714.2","4.7","367.1","716.6","4.4","310.1","627.9","4.1","321.8","571.9","3.7","235.8","478.1","3.8","209.1","452.9","3.7","197.7","428.0","3.5","189.9","387.3","3.4","162.0","346.1","3.4","135.9","323.2","3.1","119.5","287.9","3.0","119.0","270.6"
"Mexico","5.9","534.8","1008.7","5.7","593.4","986.1","6.0","617.9","1001.3","5.9","580.7","973.2","5.8","565.1","915.0","6.0","538.7","887.8","6.2","477.6","868.7","5.7","556.5","829.2","5.8","542.8","807.3","5.7","501.0","759.9","5.9","472.1","721.9","6.0","435.3","685.1","5.9","401.5","637.0","5.4","375.2","552.9","5.3","353.9","524.4","4.9","309.6","480.5"
"Micronesia (Federated States of)","13.1","394.9","457.9","12.4","379.1","415.1","11.9","363.5","407.7","12.0","377.3","418.5","12.9","387.5","440.7","12.9","371.0","427.4","12.6","338.1","397.7","11.9","299.5","367.8","11.1","270.5","341.4","10.7","256.0","325.1","11.5","270.9","338.5","10.4","234.7","290.0","9.5","218.7","265.8","7.8","177.5","210.7","8.4","189.3","221.3","7.7","168.4","194.7"
"Monaco","2.0","3315.8","3406.9","2.1","3865.6","3468.6","2.1","3711.7","3250.5","2.2","3397.9","3005.2","2.2","3533.6","2888.5","2.3","3369.8","2796.0","2.3","3397.8","2687.8","1.9","3476.5","2608.1","1.8","2989.1","2399.9","2.0","2690.3","2331.0","2.1","2632.6","2301.0","2.1","2585.0","2214.8","2.1","2229.7","2101.7","1.8","1569.3","1852.7","1.8","1436.0","1744.3","1.7","1410.9","1629.2"
"Mongolia","3.9","152.5","469.6","3.8","160.0","457.5","4.0","175.4","443.8","3.7","160.9","367.3","4.1","129.5","305.1","4.2","96.0","273.6","4.2","71.3","296.0","4.1","89.4","304.1","3.8","63.7","259.2","3.5","46.8","208.6","4.2","42.2","227.6","4.2","34.0","209.8","4.4","28.7","194.3","5.1","29.2","206.9","4.9","26.5","194.4","5.5","27.5","213.7"
"Montenegro","6.0","382.1","957.0","5.9","430.0","898.1","6.0","430.4","891.4","6.1","400.8","843.5","5.8","423.3","836.8","5.9","388.2","793.7","5.5","367.7","712.5","6.2","448.9","842.4","6.6","390.9","813.9","7.2","315.9","746.0","7.7","281.9","638.2","7.9","266.4","617.7","8.3","231.6","609.8","7.7","160.3","541.7","7.6","143.5","510.6","6.7","108.0","398.9"
"Morocco","5.5","159.8","435.3","5.7","181.4","428.3","5.6","178.4","415.0","5.7","169.5","403.6","5.7","176.9","389.1","5.9","168.7","375.7","5.8","169.6","360.8","5.3","155.2","315.7","5.4","137.3","302.5","4.9","109.9","262.3","4.8","97.3","230.7","4.7","93.4","217.2","4.6","79.4","196.4","4.4","63.4","178.8","4.1","55.8","161.0","4.0","53.6","142.9"
"Mozambique","5.4","28.3","63.7","5.5","34.4","62.9","4.7","28.5","50.3","5.1","30.6","52.1","4.4","23.4","42.4","5.1","21.5","46.0","5.0","23.0","42.5","4.6","23.2","38.0","5.4","22.9","42.3","6.2","23.3","44.0","6.4","23.4","41.9","5.0","16.8","30.2","5.3","14.9","29.7","3.9","10.1","20.6","4.3","10.6","20.5","3.7","9.9","15.8"
"Myanmar","4.9","59.1","267.2","4.9","62.4","245.5","2.0","23.9","91.1","1.9","23.3","82.2","1.7","19.3","65.8","1.9","15.3","67.7","2.0","13.7","68.3","1.8","10.4","59.7","1.6","7.0","50.8","1.7","5.6","46.5","1.8","5.2","42.7","1.9","4.8","39.1","2.0","4.7","34.1","2.1","5.2","31.0","1.8","3.4","24.2","1.8","3.3","21.9"
"Namibia","8.9","423.1","942.5","8.2","442.4","827.9","8.6","474.0","827.6","9.2","528.3","839.2","9.7","544.2","847.3","9.5","491.5","784.8","8.2","341.0","644.7","9.9","397.0","777.0","10.9","459.3","833.9","12.1","471.0","855.9","12.4","443.1","801.7","11.0","362.0","680.1","11.1","275.2","600.6","10.4","177.3","534.0","11.3","187.7","503.4","11.5","207.5","487.9"
"Nauru","4.8","812.0","1063.9","5.5","907.3","898.7","4.9","688.8","615.1","7.5","857.8","714.2","8.2","693.9","666.0","10.7","664.6","724.6","10.3","562.5","581.7","19.5","815.3","1350.0","26.2","605.1","892.8","14.4","361.8","578.9","12.6","326.8","509.5","11.6","317.0","598.8","14.4","343.6","725.8","15.6","294.4","732.2","14.3","270.4","746.8","13.5","292.0","740.7"
"Nepal","6.1","44.4","150.6","5.8","41.4","139.0","5.7","37.0","127.2","5.2","33.5","110.7","5.1","34.3","103.1","5.0","30.0","96.8","4.5","21.2","82.5","4.4","19.2","77.4","4.2","17.5","69.5","4.0","14.0","63.8","4.5","14.5","67.6","4.6","13.3","65.7","4.4","11.5","59.7","4.6","10.9","58.5","4.4","10.8","57.0","3.6","8.6","46.8"
"Netherlands","10.7","4746.0","5313.2","10.9","5675.6","5338.0","10.9","5628.6","5316.3","10.9","5402.5","5100.4","10.5","5645.3","4857.1","10.4","5249.4","4649.3","10.2","5326.7","4525.4","9.5","5427.7","4370.6","9.2","4739.8","4020.3","9.2","4084.6","3732.6","9.3","3857.7","3457.9","8.5","3409.7","3024.3","8.5","2986.7","2855.9","8.0","2298.5","2711.0","7.4","1985.5","2458.2","7.1","1836.2","2236.6"
"New Zealand","9.3","3553.6","3530.1","9.4","4132.4","3453.3","9.4","3967.2","3346.4","9.7","3825.1","3156.8","9.6","3646.6","3106.5","9.7","3239.9","3006.4","9.7","2714.0","2954.5","9.1","2848.0","2718.2","8.3","2699.3","2440.0","8.6","2301.9","2396.5","8.3","2295.2","2123.6","7.9","1983.7","1985.5","7.7","1610.9","1852.8","7.9","1246.3","1834.4","7.6","1049.4","1693.8","7.5","1053.9","1606.3"
"Nicaragua","7.8","162.9","406.0","7.6","149.3","377.6","7.4","134.6","346.9","7.5","133.2","336.6","7.1","119.1","299.5","6.5","99.1","256.6","7.1","105.3","272.0","6.6","100.3","261.0","6.5","87.3","246.7","5.7","70.4","202.4","5.5","64.8","186.2","5.4","58.7","171.0","4.8","49.2","144.3","5.3","54.0","154.2","5.1","53.9","146.9","5.2","53.0","143.6"
"Niger","7.2","25.7","68.5","5.9","25.2","55.5","6.1","25.3","55.1","6.0","23.5","52.7","6.5","24.2","51.7","6.2","21.8","49.8","6.8","23.3","51.5","6.7","23.8","52.6","7.0","20.4","50.9","7.5","19.2","53.2","7.2","17.8","48.3","6.4","14.0","39.4","5.7","12.0","36.7","6.0","10.5","37.5","5.9","9.4","35.9","5.7","8.6","32.4"
"Nigeria","3.6","97.3","215.2","3.3","107.3","199.0","3.4","101.8","192.5","3.3","91.6","180.8","3.3","83.9","173.6","3.3","76.1","164.9","3.5","67.9","293.8","3.7","81.4","266.3","3.8","67.8","255.9","3.9","61.9","238.4","3.8","46.6","212.9","4.0","38.6","211.3","4.5","34.7","179.6","2.1","15.7","82.3","2.7","15.5","103.6","2.6","14.6","87.1"
"Niue","6.3","866.6","795.0","7.7","1228.3","937.1","7.3","1118.9","851.5","7.3","1103.0","836.3","14.0","2088.7","1619.4","9.8","1288.5","1036.5","14.5","1544.1","1823.9","14.5","1543.1","1685.8","12.1","1224.5","1289.8","40.0","3499.5","4230.3","10.1","822.7","955.2","12.2","836.8","983.4","11.4","649.2","862.4","11.1","466.7","762.2","38.1","1445.1","2474.4","7.9","318.3","488.6"
"Norway","10.0","7464.1","6221.6","9.3","9118.3","6177.0","8.9","9241.3","6018.3","8.8","8970.1","5774.4","8.8","8900.4","5492.1","8.9","7859.5","5200.6","9.1","7302.0","5061.0","8.0","7768.1","4945.3","8.1","6895.6","4523.7","7.9","5893.0","4302.5","8.3","5584.7","3995.4","8.8","5097.3","3764.5","9.2","4632.6","3562.0","9.0","3890.0","3429.1","8.0","3099.0","3044.6","7.7","2948.9","2854.7"
"Oman","3.8","636.5","1635.9","3.5","721.9","1497.2","2.8","592.5","1208.6","2.6","564.4","1117.5","2.6","535.3","1074.3","2.7","529.1","1218.9","2.8","475.0","1250.1","2.0","444.2","868.7","2.4","383.4","983.4","2.3","332.9","900.9","2.6","320.2","955.2","3.0","301.4","1066.2","3.2","287.8","1119.9","3.2","274.4","1155.8","3.1","261.3","1134.1","3.1","263.5","1067.7"
"Pakistan","2.7","38.0","134.4","2.7","36.5","131.2","2.6","31.6","120.2","2.4","28.5","104.9","2.4","28.6","101.6","2.6","26.6","109.0","2.6","25.3","109.1","3.0","27.0","120.0","3.3","29.8","126.8","3.2","26.1","115.2","2.9","20.7","104.3","2.5","16.2","83.0","2.6","15.0","79.6","2.9","15.0","84.3","2.9","13.8","81.0","3.1","15.9","85.5"
"Palau","10.6","1420.2","1611.5","11.9","1402.1","1648.8","11.8","1292.2","1570.7","11.4","1183.0","1548.6","10.4","1013.6","1352.9","11.5","1037.8","1405.1","10.1","932.2","1190.4","9.4","924.9","1213.1","9.8","955.5","1315.8","9.4","912.9","1233.3","9.0","868.3","1178.6","10.1","888.8","1272.9","8.7","705.2","1007.6","8.4","701.4","1026.2","8.1","671.4","927.3","9.5","735.2","1020.0"
"Panama","7.0","920.6","1542.8","6.8","861.8","1432.5","6.6","770.9","1301.0","6.1","647.4","1132.2","6.0","558.6","1020.6","6.6","526.8","1002.7","6.5","480.7","929.2","6.5","456.6","935.2","6.6","401.4","868.6","6.9","350.4","761.9","6.6","304.7","655.3","7.5","326.3","692.0","7.1","287.9","605.9","7.5","292.3","609.9","7.4","281.3","587.8","7.5","285.7","589.6"
"Papua New Guinea","3.8","77.3","98.6","4.5","97.6","115.6","4.9","99.0","124.2","3.7","76.2","89.4","3.2","56.8","72.4","3.1","42.3","63.2","3.3","39.0","64.1","3.1","36.7","57.2","3.6","34.9","63.1","3.7","31.3","59.1","3.7","28.5","57.8","4.1","26.4","60.7","3.8","22.4","54.2","3.5","17.7","48.3","3.2","17.0","44.7","3.0","19.0","43.0"
"Paraguay","7.8","321.3","724.3","7.6","359.4","682.9","7.0","312.2","593.4","7.6","293.8","567.4","6.7","268.4","505.0","6.2","201.0","444.7","6.2","161.3","392.3","5.5","168.0","363.6","5.4","124.3","332.8","5.3","96.0","307.7","5.0","75.1","271.4","5.0","70.3","262.3","4.9","57.9","246.4","4.7","53.7","223.6","5.5","77.8","263.2","5.8","89.0","277.6"
"Peru","5.3","323.0","671.0","5.1","331.9","621.8","4.8","318.7","572.6","4.7","303.3","529.3","4.6","264.8","479.4","4.7","238.7","463.6","4.9","206.8","447.1","4.4","188.6","401.2","4.4","158.7","358.1","4.5","141.7","330.8","4.6","123.5","303.2","4.8","117.2","298.8","5.0","112.2","301.5","5.0","106.2","287.8","4.8","97.6","260.2","4.4","90.2","235.1"
"Philippines","4.4","126.9","322.8","4.2","119.2","290.8","4.5","123.2","291.3","4.4","112.9","266.8","4.2","98.9","240.1","4.3","91.8","236.5","4.4","79.5","222.7","4.0","77.3","205.4","3.9","65.6","191.3","3.9","54.9","178.9","3.9","46.6","166.0","3.2","34.2","127.0","3.2","32.3","119.0","2.7","27.3","97.2","2.9","28.2","101.7","3.2","32.8","105.6"
"Poland","6.3","796.7","1704.2","6.2","896.0","1607.5","6.4","878.1","1576.4","6.2","815.1","1477.9","6.2","866.1","1424.5","6.4","809.2","1354.4","6.6","759.6","1269.5","6.4","892.6","1167.3","5.9","660.9","985.4","5.8","524.1","878.5","5.8","465.7","806.8","5.9","392.0","783.3","6.0","339.3","730.5","6.1","315.8","716.0","5.7","282.8","631.8","5.3","238.0","563.9"
"Portugal","9.0","1721.7","2661.4","9.0","1986.9","2594.6","9.1","1959.4","2530.9","9.3","1918.6","2466.5","9.5","2207.7","2548.7","9.8","2213.1","2686.5","9.9","2279.5","2618.7","9.4","2322.0","2492.0","9.1","2067.1","2331.8","9.1","1812.6","2255.9","9.4","1773.5","2146.8","9.3","1679.2","1999.7","8.9","1405.9","1857.5","8.6","1105.2","1747.2","8.4","988.8","1651.1","8.4","967.1","1586.9"
"Qatar","3.1","2029.5","3900.3","2.4","2104.4","3084.7","2.1","1833.4","2634.9","1.7","1548.3","2230.9","1.6","1375.1","2069.6","1.8","1257.9","2193.8","2.1","1321.5","2435.7","1.6","1327.6","1840.3","2.0","1322.2","2209.3","2.2","1327.7","2397.9","2.6","1322.8","2511.7","3.1","1285.7","3087.6","3.5","1206.3","3189.1","2.5","736.8","2237.6","2.3","658.0","2027.3","2.0","602.3","1724.7"
"Republic of Korea","7.4","2012.7","2556.0","7.1","1995.7","2414.1","6.9","1796.9","2268.2","6.7","1646.9","2170.0","6.6","1585.4","2056.0","6.5","1436.8","1976.0","6.4","1162.1","1799.3","5.8","1184.5","1661.4","5.7","1295.5","1563.0","5.5","1137.6","1406.6","5.1","937.1","1216.5","4.8","753.4","1086.8","4.8","670.4","1008.5","4.4","555.2","902.4","4.5","505.6","861.9","4.0","473.9","717.3"
"Republic of Moldova","10.2","186.4","515.3","10.3","230.8","515.8","10.3","231.7","485.2","10.9","223.6","461.9","10.9","215.0","456.0","12.2","198.3","465.7","13.7","208.5","482.7","11.0","186.4","409.2","11.0","135.4","372.1","10.5","100.1","335.9","9.6","79.3","281.1","9.0","64.6","237.3","7.0","38.4","167.8","7.1","32.5","155.7","6.1","24.9","122.0","5.8","20.5","106.8"
"Romania","5.0","442.4","1090.4","5.0","503.5","1045.0","5.2","495.4","1027.3","4.7","401.7","891.6","4.7","426.7","839.5","5.7","472.2","978.4","5.5","449.4","875.8","5.2","521.3","839.0","5.1","415.1","679.1","5.0","291.0","584.0","5.5","254.5","529.2","5.4","190.8","490.7","5.2","143.5","404.6","4.6","96.6","326.3","4.3","78.8","282.2","4.2","69.9","245.8"
"Russian Federation","5.6","523.8","1414.0","5.7","742.3","1339.9","5.5","811.2","1261.1","5.3","760.1","1269.8","5.1","684.8","1159.9","5.3","567.4","1089.5","5.9","516.7","1169.8","5.2","609.9","1056.9","5.1","461.9","844.9","5.1","352.7","760.3","5.1","272.0","604.0","5.1","209.2","521.9","5.5","164.7","512.2","5.9","140.8","475.9","5.6","118.1","414.3","5.4","95.4","367.6"
