Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Lao People's Democratic Republic,76,94,82,73,93,80,71,92,78,69,91,76,67,90,74,64,89,72,62,88,70,60,87,68,58,86,66,56,85,64,53,84,62,51,83,60,49,82,58,47,81,56,45,80,53,42,79,51,40,78,49,38,77,47
Latvia,98,99,99,98,99,99,98,99,99,98,99,98,98,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,96,99,98,96,99,98,96,99,98,96,99,98,96,99,98,96,99,98
Lebanon,,,93,,,93,,,92,,,92,,,91,,,91,,,90,,,90,,,90,,,89,,,89,,,88,,,88,,,87,,,87,,,86,,,86,,,85
Lesotho,59,93,69,59,93,69,60,92,68,60,91,68,60,91,68,61,90,68,61,89,68,61,88,68,62,87,68,62,87,68,62,86,68,63,85,68,63,84,68,63,83,68,63,83,67,64,82,67,64,81,67,64,80,67
Liberia,62,84,73,61,83,72,61,83,72,60,83,71,60,83,71,59,82,70,58,82,70,58,82,69,57,82,69,56,81,68,56,81,68,55,81,67,54,81,66,53,80,66,52,80,65,51,79,64,51,79,63,50,78,62
Libya,,,99,,,99,,,98,,,97,,,96,,,95,,,94,,,93,,,92,,,91,,,91,,,90,,,89,,,88,,,87,,,86,,,85,,,84
Lithuania,93,100,98,92,100,97,91,99,97,90,99,96,89,99,96,88,99,95,87,99,95,86,99,94,85,98,94,84,98,93,83,98,93,82,98,92,81,98,92,79,97,91,78,97,91,77,97,91,76,97,90,75,97,90
Luxembourg,99,100,100,99,100,100,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Madagascar,36,86,54,36,85,53,35,84,52,34,83,51,33,82,50,32,80,48,32,79,47,31,78,46,30,77,45,29,76,44,29,75,43,28,74,42,27,73,41,27,72,39,26,71,38,25,70,38,24,69,37,24,68,36
Malawi,65,86,69,64,86,68,63,86,67,62,86,66,61,86,65,60,86,64,59,86,63,58,86,62,57,86,61,56,86,60,55,86,60,54,86,59,53,86,58,52,86,57,51,86,56,49,86,55,48,86,54,47,86,53
Malaysia,89,99,97,90,99,97,90,99,97,90,99,97,91,99,97,91,99,97,91,99,97,91,99,97,92,99,97,92,99,97,92,99,97,93,99,97,93,99,97,93,99,97,94,99,97,94,99,97,94,99,97,94,99,97
Maldives,100,98,99,100,98,99,100,98,99,99,98,99,98,98,98,98,98,98,97,98,98,97,98,97,96,98,97,95,98,96,95,98,96,94,98,95,93,98,95,93,98,95,92,98,94,92,98,94,91,98,93,90,98,92
Mali,68,92,78,66,91,77,65,90,75,63,89,73,61,89,71,59,88,70,57,87,68,55,86,66,54,85,65,52,84,63,50,83,61,48,82,59,46,81,58,45,80,56,43,79,54,41,78,52,39,77,50,38,76,49
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Marshall Islands,94,87,88,95,85,87,95,83,86,96,82,85,96,80,84,97,78,83,97,77,82,98,75,81,98,73,80,99,72,79,99,70,78,99,69,77,99,67,76,99,67,76,99,67,77,99,67,77,99,67,77,,,
Mauritania,50,89,71,48,88,69,47,86,67,45,85,65,44,84,63,42,82,61,40,81,60,39,79,58,37,78,56,36,77,54,35,75,52,33,74,51,32,73,49,30,71,47,29,70,45,28,69,44,26,67,42,25,67,41
Mauritius,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99
Mexico,97,100,99,95,100,99,94,99,98,93,99,98,92,99,97,91,98,97,90,98,96,88,98,96,87,98,95,86,97,95,84,97,94,83,97,93,81,96,93,80,96,92,78,95,91,76,95,90,75,95,90,73,94,89
Micronesia (Federated States of),,,79,,,79,,,79,,,79,,,80,,,80,,,81,,,82,,,82,,,83,,,83,,,84,,,85,,,85,,,86,,,86,,,87,,,88
Monaco,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100
Mongolia,56,96,83,55,96,83,53,95,82,51,95,81,49,94,80,48,93,79,46,93,78,44,92,77,42,92,75,41,91,74,39,91,72,38,90,71,36,89,69,35,89,68,33,88,66,32,88,65,30,87,63,29,87,62
Montenegro,99,96,97,99,96,97,99,96,97,97,96,96,96,96,96,95,96,96,95,96,96,95,96,96,95,97,96,95,97,96,94,97,96,94,97,96,,,,,,,,,,,,,,,,,,
Morocco,71,97,87,71,97,87,68,96,85,65,96,84,62,96,82,59,95,81,56,95,79,53,95,77,51,95,76,48,94,74,45,94,73,43,94,71,40,93,69,38,93,68,35,93,66,33,92,65,30,92,64,28,92,62
Mozambique,40,84,56,38,83,53,36,81,51,33,79,49,31,78,47,29,76,44,27,75,42,25,73,40,23,71,38,20,70,36,18,68,33,16,66,31,14,65,29,12,63,27,10,62,25,8,60,23,6,58,21,4,58,20
Myanmar,77,93,82,76,92,81,75,92,80,73,91,78,70,89,76,67,87,73,65,86,71,62,84,68,59,83,66,57,81,64,54,79,61,52,78,59,49,76,57,47,75,55,45,73,53,42,71,50,40,70,48,38,68,46
Namibia,69,96,83,69,97,82,69,97,82,69,97,82,69,97,81,68,97,81,68,97,80,68,97,80,68,97,80,68,97,79,68,97,79,67,97,79,67,98,78,67,98,78,67,98,78,67,98,77,67,98,77,66,98,77
Nauru,,99,99,,99,99,,99,99,,99,99,,99,99,,99,99,,98,98,,98,98,,98,98,,98,98,,98,98,,97,97,,97,97,,97,97,,97,97,,96,96,,96,96,,96,96
Nepal,89,89,89,88,89,88,87,90,88,87,90,87,86,90,87,86,90,86,85,90,86,84,91,85,84,91,85,83,91,84,82,91,84,82,92,83,81,92,83,81,92,82,80,92,82,79,93,81,79,93,81,78,93,80
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,59,98,82,59,98,82,60,97,81,60,97,81,60,97,81,60,97,81,61,97,81,61,97,81,61,97,81,61,97,81,62,97,81,62,96,81,62,96,81,62,96,81,63,96,81,63,96,81,63,96,81,63,96,81
Niger,44,84,50,43,85,50,42,85,49,41,86,48,40,87,47,38,87,46,37,88,46,36,88,45,35,89,44,34,89,43,33,90,42,32,91,41,31,91,40,29,92,39,28,92,39,27,93,38,26,93,37,24,94,36
Nigeria,56,87,71,54,87,70,53,86,69,52,85,67,51,84,66,49,83,65,48,82,63,47,81,62,46,80,60,45,79,59,43,78,58,42,78,56,41,77,55,40,76,53,38,75,52,37,74,51,36,73,49,35,73,48
Niue,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oman,78,95,92,78,95,92,78,95,92,76,94,91,74,93,89,72,92,87,70,91,86,67,90,84,65,89,83,63,88,81,61,87,80,58,85,78,56,84,77,56,84,76,56,84,76,56,84,76,56,84,76,,,
Pakistan,90,94,91,89,94,91,89,94,91,88,94,90,88,94,90,87,94,90,87,95,89,86,95,89,86,95,89,85,95,88,85,95,88,84,95,88,84,95,87,83,95,87,83,95,87,82,95,86,82,95,86,81,95,86
Palau,100,100,100,100,100,100,99,100,100,97,100,99,95,100,99,94,99,98,92,99,97,90,99,96,88,98,96,87,98,95,85,97,94,83,97,93,81,97,92,80,96,91,78,96,91,78,96,91,78,96,91,78,96,91
Panama,93,98,96,92,98,96,91,98,95,89,98,95,88,98,94,87,98,94,86,98,94,85,98,93,84,97,93,83,97,92,82,97,92,81,97,92,80,97,91,79,97,91,78,97,90,77,97,90,76,97,89,75,97,88
Papua New Guinea,35,86,41,34,86,41,33,85,40,33,85,40,32,85,39,32,85,38,31,85,38,30,84,37,30,84,37,29,84,36,28,84,36,28,83,35,27,83,35,27,83,34,27,83,34,27,83,34,27,83,34,27,83,34
Paraguay,99,100,100,97,100,99,94,99,97,92,99,96,89,98,95,86,98,93,83,98,92,80,97,90,78,97,89,75,97,88,72,96,86,69,96,85,67,96,83,64,95,82,61,95,80,58,94,79,56,94,77,53,94,75
Peru,76,96,91,74,95,91,73,95,90,71,95,89,70,95,89,68,94,88,67,94,88,66,94,87,64,94,87,63,93,86,61,93,85,60,93,85,58,93,84,57,92,83,56,92,83,54,92,82,53,92,81,51,92,81
Philippines,90,98,94,89,97,93,89,97,93,88,97,92,87,97,92,87,96,91,86,96,91,85,96,90,85,95,90,84,95,89,84,95,89,83,95,88,82,94,88,82,94,87,81,94,87,80,93,86,80,93,86,79,93,86
Poland,100,100,100,99,100,99,98,100,99,97,100,99,97,99,98,96,99,98,95,99,98,95,99,97,94,99,97,94,99,97,94,99,97,94,99,97,94,99,97,,,,,,,,,,,,,,,
Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,100,99,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99
Qatar,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Republic of Korea,,,100,,,100,,,100,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,,,,
Republic of Moldova,83,97,89,83,97,89,82,97,88,82,97,88,81,97,88,80,96,87,80,96,87,79,96,86,79,96,86,78,96,86,78,96,85,77,96,85,76,96,85,76,96,84,75,95,84,75,95,84,74,95,84,74,95,83
Romania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Russian Federation,93,99,97,92,99,97,92,99,97,91,99,97,91,99,97,90,99,96,90,99,96,89,99,96,89,99,96,88,99,96,88,99,96,87,99,96,87,99,96,86,99,95,86,99,95,85,99,95,85,99,95,85,99,95
Rwanda,53,82,58,52,82,57,51,81,56,51,80,56,50,79,55,49,79,54,48,78,53,48,77,53,47,77,52,46,76,51,46,75,51,45,75,50,44,74,49,44,73,49,43,73,48,42,72,47,42,71,46,41,71,45
Saint Kitts and Nevis,,,,,,,,,,,,,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98,,,98
Saint Lucia,98,98,98,98,98,98,98,98,98,98,98,98,97,98,97,96,98,97,95,98,96,94,97,95,94,97,94,93,96,93,92,96,92,91,95,92,90,94,91,89,94,90,88,93,89,87,93,88,87,93,88,87,93,88
Saint Vincent and the Grenadines,,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,93,,,93,,,93
Samoa,97,100,97,97,100,97,96,100,97,96,99,96,95,98,96,95,97,95,95,96,95,94,95,94,94,94,94,93,93,93,93,92,93,93,91,92,93,91,92,92,90,92,92,90,92,92,90,92,92,90,92,92,90,92
San Marino,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Sao Tome and Principe,77,87,84,77,87,84,76,87,83,74,86,82,73,85,81,72,83,80,71,82,78,70,81,77,68,80,76,67,79,75,66,78,73,65,77,72,64,76,71,63,75,70,62,74,69,60,73,67,59,72,66,58,71,65
Saudi Arabia,,,100,,,100,,,100,,,100,,,99,,,99,,,99,,,99,,,99,,,98,,,98,,,98,,,98,,,98,,,98,,,97,,,97,,,97
Senegal,70,92,81,69,92,79,67,92,78,65,92,77,63,92,76,61,91,75,59,91,73,57,91,72,55,91,71,54,91,70,52,91,68,50,90,67,48,90,66,47,90,65,45,90,63,43,90,62,42,90,61,40,89,60
Serbia,88,83,86,88,83,86,89,84,86,90,85,87,90,86,88,91,87,89,92,87,89,92,88,90,93,89,91,94,90,92,94,91,92,95,91,93,96,92,94,96,93,95,97,93,95,97,93,95,97,93,95,97,93,95
Seychelles,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,95,,,95,,,95,,,94,,,94,,,94,,,94,,,93,,,93
Sierra Leone,50,76,61,49,75,60,47,75,58,45,74,57,44,74,56,42,73,55,40,73,53,39,73,52,37,72,51,36,72,49,34,71,48,32,71,47,31,70,45,29,70,44,28,69,43,26,69,41,24,68,40,24,68,40
Singapore,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100,,100,100
Slovakia,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,99,99,99,99,98,99,99,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98
Slovenia,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Solomon Islands,61,91,68,62,91,69,63,91,69,64,91,70,65,91,71,67,91,72,68,91,73,69,91,74,70,91,74,72,91,75,73,91,76,74,91,77,75,91,78,76,90,79,76,90,79,76,90,79,76,90,79,76,90,79
Somalia,28,83,52,27,81,51,27,79,49,26,77,47,25,75,46,24,73,44,22,71,42,21,69,40,20,67,38,19,65,35,17,63,33,16,61,32,14,59,30,12,57,28,10,56,26,8,54,24,6,52,22,4,50,20
South Africa,81,99,93,80,99,92,79,99,92,78,99,91,77,99,91,76,99,91,76,99,90,75,99,90,74,99,89,73,99,89,72,99,88,71,99,88,70,99,87,70,98,87,69,98,86,68,98,86,67,98,85,66,98,85
South Sudan,35,65,41,36,63,41,36,60,41,37,58,41,38,56,41,38,54,41,39,52,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,88,97,89,87,97,89,86,97,88,86,97,88,85,97,87,84,96,87,84,96,86,83,96,85,82,96,85,82,96,84,81,96,84,80,96,83,79,96,82,79,96,82,78,96,81,77,95,81,77,95,80,76,95,80
Sudan,53,74,60,53,74,60,52,73,59,50,72,58,49,71,56,47,70,55,46,68,53,44,67,52,43,66,50,41,65,49,40,64,48,38,63,46,37,61,45,35,60,43,35,60,43,35,60,43,35,60,43,35,60,43
Suriname,90,98,95,87,98,95,87,98,94,87,98,94,86,98,94,85,98,93,84,98,93,83,98,93,82,98,93,81,98,92,80,98,92,79,98,92,78,98,91,77,98,91,76,98,91,75,98,90,75,98,90,74,98,90
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syrian Arab Republic,95,99,97,95,99,97,95,99,97,94,99,97,94,99,97,94,99,97,93,99,96,93,99,96,93,99,96,92,99,96,92,99,96,92,99,96,92,99,96,91,99,96,91,99,95,91,99,95,90,99,95,90,99,95
Tajikistan,76,96,81,74,96,80,72,96,78,70,95,77,68,95,75,66,95,73,64,94,72,62,94,70,60,93,69,58,93,67,56,93,66,54,92,65,53,92,63,51,92,62,49,91,60,47,91,59,45,91,57,43,90,56
Thailand,100,100,100,99,100,99,99,100,99,99,100,99,98,100,99,98,99,98,97,99,98,97,99,98,96,99,97,96,99,97,95,99,97,95,99,96,94,99,96,94,98,95,93,98,95,93,98,95,92,98,94,92,98,94
Republic of North Macedonia,97,91,93,97,91,93,97,91,93,97,91,93,97,91,93,97,92,94,97,93,95,97,94,95,98,95,96,98,96,97,98,98,98,98,99,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99
Timor-Leste,70,98,78,67,98,77,65,97,75,63,95,72,61,93,70,59,91,68,57,89,66,55,87,64,53,85,62,51,83,60,50,81,58,48,80,57,47,78,55,46,76,54,45,74,52,43,73,51,,,,,,
Togo,48,89,65,47,88,64,46,88,63,45,87,62,44,87,61,43,86,60,42,86,58,41,85,57,40,84,56,38,84,55,37,83,54,36,83,53,35,82,52,34,81,50,33,81,49,32,80,48,31,80,47,30,79,46
Tonga,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,99,99,99,99,99,99,99,99,98,99,99,98,99,99,98,99,99,98,99,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98
Trinidad and Tobago,,,98,,,98,,,98,,,98,,,98,,,97,,,97,,,96,,,96,,,95,,,95,,,95,,,94,,,94,,,93,,,93,,,92,,,92
Tunisia,89,100,96,88,100,96,87,100,96,87,100,95,85,100,95,83,100,94,81,99,93,79,99,92,77,99,92,76,99,91,75,99,91,75,99,90,74,99,90,73,98,90,73,98,89,72,98,89,71,98,88,71,98,88
Turkey,100,99,99,100,99,99,100,99,99,99,99,99,98,99,99,97,99,98,97,99,98,96,99,98,95,99,98,95,99,97,94,99,97,93,99,97,92,99,97,92,99,96,91,99,96,90,99,96,89,99,96,89,99,95
Turkmenistan,98,100,99,98,100,99,97,99,98,96,99,98,95,99,97,94,99,96,92,98,95,91,98,95,90,98,94,89,98,93,88,97,92,87,97,92,86,97,91,84,96,90,83,96,89,82,96,88,80,96,88,79,96,87
Tuvalu,99,100,99,99,100,99,99,100,99,99,100,99,99,99,99,99,99,99,98,99,99,98,99,99,98,99,99,98,99,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,,
Uganda,41,75,49,40,75,48,38,75,46,37,74,45,35,74,43,34,74,42,33,73,41,31,73,39,30,73,38,29,73,37,27,72,35,26,72,34,25,72,33,24,71,32,22,71,30,21,71,29,20,71,28,19,70,27
Ukraine,99,91,94,99,91,94,99,91,94,99,91,94,98,92,94,97,93,94,97,94,95,97,94,95,96,95,96,96,96,96,96,97,96,96,97,97,96,98,97,95,99,98,95,100,98,95,100,98,95,100,98,95,100,98
United Arab Emirates,,,98,,,97,,,97,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96
United Kingdom of Great Britain and Northern Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Republic of Tanzania,43,86,57,41,84,55,39,83,53,37,82,51,36,80,49,34,79,47,33,78,46,31,76,44,29,75,42,28,74,40,26,73,38,25,71,37,23,70,35,22,69,33,20,68,32,19,67,30,18,66,29,16,65,27
United States of America,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,97,100,99,,100,,,100,,,100,,,100,,,100,
Uruguay,95,100,99,94,100,99,93,100,99,91,99,99,89,99,99,87,99,99,86,99,99,84,99,98,82,99,98,80,99,98,79,99,98,77,99,98,75,99,97,74,99,97,74,99,97,74,99,97,75,99,97,75,99,97
Uzbekistan,96,100,98,96,99,98,96,99,98,95,99,97,95,99,97,95,99,97,94,99,96,93,99,96,93,99,96,92,98,95,90,98,94,88,98,93,86,97,92,84,97,90,82,97,89,80,96,88,78,96,86,76,95,85
Vanuatu,88,100,91,88,99,91,87,99,90,86,99,89,85,98,89,85,98,88,84,98,87,83,98,86,82,97,86,81,97,85,80,97,84,80,96,84,79,96,83,78,96,82,78,96,82,78,96,82,78,96,82,78,96,82
Venezuela (Bolivarian Republic of),,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,97,,,97,,,97
Viet Nam,93,99,95,92,98,94,91,98,93,90,97,92,88,97,91,87,97,90,86,96,89,85,96,89,84,96,88,83,96,87,82,96,86,81,96,85,80,95,84,79,95,84,78,95,83,77,95,82,77,95,81,76,94,80
Yemen,55,79,63,55,79,63,55,79,63,52,79,61,50,78,60,48,78,58,46,77,56,44,76,54,41,76,52,39,75,50,37,75,48,35,74,46,32,74,44,30,73,42,28,73,40,26,72,38,26,72,38,26,72,38
Zambia,42,84,60,41,84,59,41,84,59,40,84,58,39,84,58,39,84,57,38,84,56,38,84,56,37,84,55,36,84,55,36,84,54,35,84,53,34,84,53,34,84,52,33,84,51,32,84,51,32,84,50,31,84,49
Zimbabwe,50,94,64,50,94,65,51,94,65,52,94,65,52,94,66,53,94,66,54,94,67,54,94,68,55,94,68,55,95,69,56,95,69,57,95,70,57,95,70,58,95,71,59,95,71,59,95,72,60,95,72,60,95,72
